,uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration,h/s
35461,spotify:track:0I3Lzmf3JDIOyFLcrruRjO,0.468,0.42,0.671,0.288,1,0.0,0.139,-14.176,0.496,68.287,131202,s
35462,spotify:track:3GVkPk8mqxz0itaAriG1L7,0.847,0.689,0.734,0.57,7,2.14e-05,0.112,-7.066,0.133,129.953,95467,s
35463,spotify:track:7uQE6YnZNEEkZ31808s8HC,0.595,0.508,0.56,0.781,0,0.0,0.409,-4.957,0.0802,75.996,252943,s
35464,spotify:track:0STK94RxUulYqWzwFlyAb5,0.798,0.17,0.397,0.303,1,4.16e-06,0.0824,-10.413,0.11,170.22,197893,s
35465,spotify:track:4mKYqRVmYP4tKZGitN2iWh,0.484,0.154,0.608,0.448,2,0.0,0.0804,-9.572,0.0513,120.084,198853,s
35466,spotify:track:6mrKP2jyIQmM0rw6fQryjr,0.33,0.437,0.659,0.716,5,0.0,0.173,-5.673,0.111,148.015,212120,s
35467,spotify:track:1RGsZfUwt2a6yLzL2yoj1X,0.178,0.199,0.389,0.665,0,0.000732,0.116,-6.169,0.0644,117.055,193547,s
35468,spotify:track:60iSKGrGazRzICtMjADNSM,0.443,0.162,0.688,0.53,11,0.0,0.0995,-5.507,0.0333,106.958,205687,s
35469,spotify:track:1ugQtcwmKOXvKAYzhjncmv,0.855,0.343,0.507,0.204,0,0.0,0.143,-11.575,0.0504,77.765,179120,s
35470,spotify:track:2BOqDYLOJBiMOXShCV1neZ,0.839,0.236,0.682,0.173,1,3.26e-05,0.0983,-8.749,0.0314,112.663,260285,s
35471,spotify:track:6r2JV75tE0vNgNCv4HKsBC,0.933,0.347,0.583,0.075,5,1.4e-06,0.111,-15.843,0.0726,108.418,207520,s
35472,spotify:track:44n97yHySt0Z9rqPaXgjCK,0.913,0.351,0.513,0.25,5,0.0,0.117,-9.376,0.0367,74.103,220541,s
35473,spotify:track:4CxFN5zON70B3VOPBYbd6P,0.913,0.206,0.561,0.0848,2,2.62e-05,0.112,-15.099,0.0404,102.128,219147,s
35474,spotify:track:1NNnmmBEaId0uoWfvtNd8F,0.907,0.456,0.451,0.0873,3,2.46e-06,0.354,-16.815,0.063,166.598,200000,s
35475,spotify:track:2cXATVqLE5BELCbWSHQKva,0.758,0.173,0.604,0.283,9,0.0,0.102,-7.36,0.0358,82.982,211084,s
35476,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,0.0689,0.291,0.556,0.538,8,0.0,0.196,-5.408,0.0382,143.95,223347,s
35477,spotify:track:55Am8neGJkdj2ADaM3aw5H,0.701,0.225,0.311,0.485,6,0.0,0.0726,-5.726,0.0365,77.355,208827,s
35478,spotify:track:5DHQKZCOZhGNTbYBCekWx0,0.214,0.0397,0.51,0.643,0,3.22e-06,0.101,-6.602,0.0485,130.081,270453,s
35479,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.569,0.357,0.62,0.574,5,0.0,0.19,-7.788,0.0479,100.023,250173,s
35480,spotify:track:5dyihZecYMcEPq09Bk2OL2,0.952,0.318,0.634,0.153,4,0.0,0.134,-14.409,0.0622,77.77,221538,s
